moment:  value
[1, 4, 8, 11, 15, 16, 21, 22]:  -0.10303503394196696
[1, 4, 8, 11, 15, 16, 25, 30]:  0.05074391030941819
[1, 4, 8, 11, 15, 18]:  -0.38680391536083647
[1, 4, 8, 11, 15, 18, 19, 22]:  0.34096754762814535
[1, 4, 8, 11, 15, 21]:  0.12923979440436167
[1, 4, 8, 11, 15, 23, 26, 30]:  0.12162950170730584
[1, 4, 8, 11, 15, 23, 27, 29]:  -0.06569130841101992
[1, 4, 8, 11, 15, 27]:  0.08137227808961098
[1, 4, 8, 11, 15, 30]:  -0.13583230482823289
[1, 4, 8, 11, 16, 19]:  -0.2071685936470382
[1, 4, 8, 11, 16, 19, 23, 26]:  0.10565528485852475
[1, 4, 8, 11, 16, 19, 24, 27]:  0.10662381222268028
[1, 4, 8, 11, 16, 20, 22, 26]:  -0.022795617868325898
[1, 4, 8, 11, 16, 20, 23, 25]:  0.056477718114995024
[1, 4, 8, 11, 16, 21, 22, 27]:  -0.022623968557213717
[1, 4, 8, 11, 16, 21, 24, 25]:  0.05656962076568856
[1, 4, 8, 11, 16, 22]:  0.12823640082203902
[1, 4, 8, 11, 17, 19, 22, 26]:  0.056477718108201264
[1, 4, 8, 11, 17, 19, 23, 25]:  -0.028965042100234196
[1, 4, 8, 11, 17, 20]:  -0.21209466624632534
[1, 4, 8, 11, 17, 20, 22, 25]:  0.1202662035046946
[1, 4, 8, 11, 17, 20, 24, 27]:  0.11376869829085327
[1, 4, 8, 11, 17, 21, 23, 27]:  -0.02606187150948733
[1, 4, 8, 11, 17, 21, 24, 26]:  0.05656962076414107
[1, 4, 8, 11, 17, 23]:  0.1299261291019865
[1, 4, 8, 11, 17, 29]:  0.10596429415610603
[1, 4, 8, 11, 18, 19, 22, 27]:  0.04795659306139947
[1, 4, 8, 11, 18, 19, 24, 25]:  -0.02606187150606815
[1, 4, 8, 11, 18, 20, 23, 27]:  0.04795659306808467
[1, 4, 8, 11, 18, 20, 24, 26]:  -0.022623968576482602
[1, 4, 8, 11, 18, 21]:  -0.20378180613989308
[1, 4, 8, 11, 18, 21, 23, 26]:  0.10662381224155795
[1, 4, 8, 11, 18, 24]:  0.1181430949222518
[1, 4, 8, 11, 18, 30]:  0.08137227808737375
[1, 4, 8, 11, 19, 22]:  -0.35533391229735495
[1, 4, 8, 11, 19, 23, 25, 29]:  -0.11740614623763952
[1, 4, 8, 11, 19, 24, 25, 30]:  -0.10903883777170718
[1, 4, 8, 11, 19, 25]:  0.1299261291028626
[1, 4, 8, 11, 20, 23]:  -0.35533391229506545
[1, 4, 8, 11, 20, 24, 26, 30]:  -0.10303503393863307
[1, 4, 8, 11, 20, 24, 27, 29]:  0.16965323702244595
[1, 4, 8, 11, 20, 26]:  0.12823640081633916
[1, 4, 8, 11, 21, 23, 26, 30]:  0.15088013725049657
[1, 4, 8, 11, 21, 23, 27, 29]:  -0.10449702085001554
[1, 4, 8, 11, 21, 24]:  -0.347334934547695
[1, 4, 8, 11, 21, 27]:  0.11814309492609394
[1, 4, 8, 11, 22, 25]:  -0.21209466625013865
[1, 4, 8, 11, 23, 26]:  -0.20716859365060078
[1, 4, 8, 11, 23, 29]:  0.13774232768928887
[1, 4, 8, 11, 24, 27]:  -0.20378180614132368
[1, 4, 8, 11, 24, 30]:  0.12923979439917863
[1, 4, 8, 12, 13, 16, 20, 24]:  -0.03594886998908237
[1, 4, 8, 12, 13, 16, 20, 30]:  -0.034982878780503684
[1, 4, 8, 12, 13, 16, 21, 23]:  0.04514050092817968
[1, 4, 8, 12, 13, 16, 21, 29]:  0.05652450439901447
[1, 4, 8, 12, 13, 16, 26, 30]:  -0.03594886997733044
[1, 4, 8, 12, 13, 16, 27, 29]:  0.045140500919280985
[1, 4, 8, 12, 13, 17, 19, 24]:  0.01709865854540605
